check_runners,total_workers,clcr_pods,sample_n,exec_p50_s,exec_p95_s,exec_max_s,exec_mean_s,runs_per_min_per_check,orch_runner,orch_exec_ms
1,3,3,3,0,0,0,0,0,7mpkb,239
2,6,3,3,0,0,0,0,0,rh5p5,738
4,12,3,3,0,0,0,0,0,lkttb,319
