goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkRegexPatterns/github/match-16                                              	 1970107	       609.4 ns/op	      97 B/op	       5 allocs/op
BenchmarkRegexPatterns/github/miss-16                                               	26577410	        46.87 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/twilio_api_key/match-16                                      	 3733197	       319.1 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/twilio_api_key/miss-16                                       	 2364456	       503.7 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/reset_phone_token/match-16                                   	 3691350	       329.2 ns/op	     195 B/op	       7 allocs/op
BenchmarkRegexPatterns/reset_phone_token/miss-16                                    	 7350506	       162.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/replace_host_key/match-16                                    	 7249971	       166.4 ns/op	      82 B/op	       5 allocs/op
BenchmarkRegexPatterns/replace_host_key/miss-16                                     	62881546	        19.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/k8s_filter2/match-16                                         	12405124	        97.28 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/k8s_filter2/miss-16                                          	14286110	        83.56 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/aws_client_id/match-16                                       	 4527970	       265.3 ns/op	      97 B/op	       5 allocs/op
BenchmarkRegexPatterns/aws_client_id/miss-16                                        	 1951455	       612.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/google_gmail_api_key/match-16                                	 3070854	       387.1 ns/op	     179 B/op	       6 allocs/op
BenchmarkRegexPatterns/google_gmail_api_key/miss-16                                 	 2192263	       546.5 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/cloud_google_cloud_platform_api_key/match-16                 	 3753435	       318.6 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/cloud_google_cloud_platform_api_key/miss-16                  	  654598	      1855 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_api_keys/match-16                                       	 4240633	       283.1 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_api_keys/miss-16                                        	 5529483	       216.8 ns/op	      73 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_Aggregation-service_flooding_logs/match-16           	  995698	      1225 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_Aggregation-service_flooding_logs/miss-16            	 1000000	      1125 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Collector_proxy_noisy_logs/match-16                          	 1000000	      1012 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Collector_proxy_noisy_logs/miss-16                           	 1317352	       910.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/exclude_sensitive_info/match-16                              	 8176131	       147.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_sensitive_info/miss-16                               	 3710076	       325.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/google_api_key/match-16                                      	 3206857	       372.4 ns/op	     113 B/op	       5 allocs/op
BenchmarkRegexPatterns/google_api_key/miss-16                                       	 2286416	       523.2 ns/op	      72 B/op	       3 allocs/op
