timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778893809,180,15,2,16,15,16,2,15.00,15.00,15.00,4,8.35,11.30,11.63
1778893829,180,19,3,23,19,23,3,15.00,15.00,15.00,6,8.35,11.31,11.63
1778893849,180,30,5,29,30,29,5,15.00,15.93,16.09,8,8.35,11.17,11.63
1778893869,180,35,6,42,35,42,6,15.00,15.87,16.09,11,8.33,10.94,11.63
1778893889,180,39,7,50,39,50,7,15.00,15.82,16.09,14,8.35,10.88,11.63
1778893909,180,50,9,55,50,55,9,15.00,15.71,16.09,16,8.77,11.72,11.92
1778893929,180,55,10,60,55,60,10,15.00,15.66,16.09,17,8.64,11.70,11.92
1778893949,180,59,11,69,59,69,11,15.00,15.60,16.09,20,8.73,12.13,14.03
1778893969,180,79,12,83,83,90,12,15.00,15.59,16.09,19,9.00,13.63,14.03
1778893989,180,76,12,87,91,103,12,15.00,16.09,16.09,20,8.77,14.45,18.25
1778894009,180,77,12,89,96,112,12,15.00,16.09,16.09,19,9.40,14.66,18.25
1778894029,180,76,12,88,106,117,12,15.00,15.59,16.09,18,9.57,14.87,18.25
1778894049,180,74,12,78,109,120,12,15.00,15.59,16.09,17,9.79,15.08,18.25
