[1;34m[lab][0m observing orchestrator manifest rate; window=180s interval=20s
timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778880730,180,42,12,62,212,315,12,15.00,15.00,15.00,19,9.72,12.96,14.11
1778880750,180,41,12,65,214,323,12,15.00,15.00,15.00,19,9.72,12.96,14.11
1778880770,180,44,12,71,207,313,12,15.00,15.00,15.00,18,10.04,13.02,14.11
1778880790,180,44,12,73,209,320,12,15.00,15.00,15.00,19,9.76,12.46,14.11
1778880810,180,46,12,60,214,325,12,15.00,15.01,15.01,18,9.28,12.50,14.11
1778880830,180,47,12,76,210,312,12,15.00,15.01,15.01,18,9.28,12.67,14.96
1778880850,180,49,12,80,214,319,12,15.00,15.01,15.01,19,9.25,12.36,14.96
1778880870,180,50,12,83,217,329,12,15.00,15.01,15.01,19,9.37,15.11,15.95
1778880890,180,52,12,83,214,317,12,15.00,15.01,15.01,18,10.11,15.16,15.95
1778880910,180,51,12,83,217,326,12,15.00,15.01,15.01,19,9.37,15.11,15.95
1778880930,180,52,12,80,220,331,12,15.00,15.01,15.01,19,9.37,15.11,15.95
1778880951,180,51,12,80,215,319,12,15.00,15.50,15.98,19,9.37,15.12,15.95
1778880971,180,54,12,78,220,324,12,15.00,15.49,15.98,17,9.68,15.22,15.95
