timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778892824,180,7,2,13,7,13,2,15.00,15.00,15.00,4,8.85,12.16,12.53
1778892844,180,28,4,33,28,33,4,15.00,15.01,15.01,6,8.85,12.03,12.53
1778892864,180,31,5,42,31,42,5,15.00,15.01,15.01,8,9.09,12.71,12.79
1778892884,180,34,6,50,34,50,6,15.00,15.05,15.07,10,9.09,12.69,12.79
1778892904,180,39,8,53,39,53,8,15.00,15.05,15.07,11,9.57,14.41,15.74
1778892924,180,43,9,62,43,62,9,15.00,15.05,15.07,13,9.57,14.12,15.74
1778892944,180,46,10,72,46,72,10,15.00,15.04,15.07,15,10.72,15.24,15.74
1778892964,180,51,12,82,51,82,12,15.00,15.04,15.07,17,10.74,15.16,15.74
1778892984,180,51,12,79,55,85,12,15.00,15.04,15.07,18,10.05,15.13,15.74
1778893004,180,51,12,82,58,95,12,15.00,15.05,15.07,18,10.09,15.13,15.74
1778893024,180,39,12,79,67,112,12,15.00,15.58,16.09,17,10.09,15.80,15.96
1778893044,180,46,12,74,77,116,12,15.00,15.56,16.09,16,11.40,15.81,15.96
1778893064,180,45,12,71,79,121,12,15.00,15.56,16.09,16,11.40,15.27,15.96
