timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778883822,180,15,2,17,15,17,2,16.00,16.00,16.00,3,12.18,12.72,12.78
1778883842,180,18,4,21,18,21,4,15.98,16.00,16.00,4,12.78,13.95,14.08
1778883862,180,22,5,25,22,25,5,15.00,16.00,16.00,5,12.76,13.89,14.08
1778883882,180,41,6,47,41,47,6,15.00,16.00,16.00,7,13.43,17.21,18.14
1778883902,180,44,8,50,44,50,8,15.00,16.07,16.10,9,12.76,16.83,18.14
1778883922,180,46,9,55,46,55,9,15.00,16.06,16.10,12,11.58,16.27,18.14
1778883942,180,47,10,58,47,58,10,15.00,16.10,16.10,14,11.58,15.90,18.14
1778883963,180,54,12,67,54,67,12,15.00,16.10,16.10,15,11.65,16.06,18.14
1778883983,180,54,12,56,56,70,12,15.00,16.10,16.10,15,11.65,16.14,18.14
1778884003,180,42,12,57,57,74,12,15.00,16.10,16.10,16,11.17,15.99,18.14
