timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778892393,180,3,2,8,3,8,2,15.00,15.00,15.00,3,10.00,10.00,10.00
1778892413,180,5,3,13,5,13,3,14.46,14.95,15.00,6,10.00,10.00,10.00
1778892433,180,8,4,19,8,19,4,15.00,15.00,15.00,9,9.81,10.24,10.37
1778892453,180,14,6,27,14,27,6,15.00,15.04,15.05,11,9.65,10.21,10.37
1778892473,180,24,7,41,24,41,7,15.00,15.79,16.04,13,9.83,10.35,10.37
1778892493,180,26,8,46,26,46,8,15.00,15.74,16.04,16,10.00,10.35,10.37
1778892513,180,30,10,50,30,50,10,15.00,16.06,16.08,18,10.00,10.34,10.37
1778892533,180,32,11,55,32,55,11,15.00,16.06,16.08,21,9.83,10.34,10.37
1778892553,180,35,12,58,35,60,12,15.00,16.06,16.08,22,9.66,10.36,10.37
1778892573,180,35,12,58,38,66,12,15.00,16.08,16.09,22,9.66,10.36,10.37
1778892593,180,35,12,58,40,71,12,15.00,16.08,16.09,22,10.00,10.36,10.37
1778892613,180,35,12,58,43,77,12,15.00,16.08,16.09,22,10.00,10.36,10.36
1778892633,180,33,12,55,47,82,12,15.00,16.09,16.09,22,10.00,10.36,10.36
