timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778883441,180,19,2,20,19,20,2,15.00,15.00,15.00,3,7.51,7.97,8.02
1778883461,180,21,3,28,21,28,3,15.00,15.00,15.00,5,9.76,11.95,12.03
1778883481,180,27,5,34,27,34,5,15.00,15.01,15.01,7,9.76,14.23,14.96
1778883501,180,33,6,44,33,44,6,15.00,15.01,15.01,9,8.27,13.94,14.96
1778883521,180,36,7,51,36,51,7,15.00,15.01,15.01,11,10.01,14.97,14.97
1778883541,180,41,9,59,41,59,9,15.00,15.01,15.01,13,9.29,14.97,14.97
1778883561,180,44,10,68,44,68,10,15.00,15.01,15.01,15,10.04,14.97,14.97
1778883581,180,47,11,76,47,76,11,15.00,15.07,15.12,17,10.04,14.97,14.97
1778883601,180,50,12,85,53,86,12,15.00,15.06,15.12,18,10.07,14.97,14.97
1778883621,180,48,12,81,67,101,12,15.00,15.06,15.12,17,10.07,14.97,14.97
