timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778893274,180,3,2,7,3,7,2,15.00,15.00,15.00,3,13.38,14.39,14.50
1778893294,180,9,4,14,9,14,4,15.00,15.00,15.00,4,14.09,14.46,14.50
1778893314,180,12,5,24,12,24,5,15.00,15.01,15.01,6,13.51,14.42,14.50
1778893334,180,15,6,29,15,29,6,15.00,15.01,15.01,8,12.85,14.38,14.50
1778893354,180,19,8,32,19,32,8,15.00,15.76,16.09,9,13.18,14.36,14.50
1778893374,180,20,9,34,20,34,9,15.00,16.08,16.09,10,13.51,15.02,15.37
1778893394,180,22,10,42,22,42,10,15.00,16.08,16.09,13,12.70,14.89,15.37
1778893414,180,38,12,59,38,59,12,15.00,16.09,16.09,15,12.70,14.95,15.37
1778893434,180,38,12,62,40,64,12,15.00,16.09,16.09,16,12.55,14.92,15.37
1778893454,180,38,12,59,41,66,12,15.00,16.09,16.09,15,11.80,14.95,15.37
1778893474,180,36,12,56,45,70,12,15.00,16.09,16.09,16,11.51,14.92,15.37
1778893494,180,36,12,53,48,77,12,15.01,16.09,16.09,17,11.61,15.12,15.37
1778893514,180,35,12,58,50,87,12,15.00,16.09,16.09,17,11.05,15.12,15.37
