benchmark,ns_per_op,bytes_per_op,allocs_per_op
TimeSamplerHook/batch32_publish/noop_hook,2595.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2611.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2619.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2645.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2659.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2614.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2620.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2621.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2623.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2619.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2620.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2823.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2628.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2646.0,0.0,0
TimeSamplerHook/batch32_publish/noop_hook,2635.0,0.0,0
TimeSamplerHook/sample_only/0sub,81.37,0.0,0
TimeSamplerHook/sample_only/0sub,83.02,0.0,0
TimeSamplerHook/sample_only/0sub,83.27,0.0,0
TimeSamplerHook/sample_only/0sub,81.37,0.0,0
TimeSamplerHook/sample_only/0sub,82.26,0.0,0
TimeSamplerHook/sample_only/0sub,83.02,0.0,0
TimeSamplerHook/sample_only/0sub,81.27,0.0,0
TimeSamplerHook/sample_only/0sub,81.34,0.0,0
TimeSamplerHook/sample_only/0sub,81.5,0.0,0
TimeSamplerHook/sample_only/0sub,81.39,0.0,0
TimeSamplerHook/sample_only/0sub,81.55,0.0,0
TimeSamplerHook/sample_only/0sub,106.6,0.0,0
TimeSamplerHook/sample_only/0sub,81.89,0.0,0
TimeSamplerHook/sample_only/0sub,81.41,0.0,0
TimeSamplerHook/sample_only/0sub,81.41,0.0,0
TimeSamplerHook/sample_only/0sub,82.12,0.0,0
TimeSamplerHook/sample_only/0sub,81.61,0.0,0
TimeSamplerHook/sample_only/0sub,81.28,0.0,0
TimeSamplerHook/sample_only/0sub,81.05,0.0,0
TimeSamplerHook/sample_only/0sub,81.68,0.0,0
TimeSamplerHook/sample_only/0sub,81.42,0.0,0
TimeSamplerHook/sample_only/0sub,81.11,0.0,0
TimeSamplerHook/sample_only/0sub,82.8,0.0,0
TimeSamplerHook/sample_only/0sub,81.47,0.0,0
TimeSamplerHook/sample_only/0sub,81.15,0.0,0
TimeSamplerHook/sample_only/0sub,82.49,0.0,0
TimeSamplerHook/sample_only/0sub,83.47,0.0,0
TimeSamplerHook/sample_only/0sub,81.2,0.0,0
TimeSamplerHook/sample_only/0sub,82.6,0.0,0
TimeSamplerHook/sample_only/0sub,82.64,0.0,0
TimeSamplerHook/sample_only/0sub,83.0,0.0,0
TimeSamplerHook/sample_only/0sub,81.73,0.0,0
TimeSamplerHook/sample_only/0sub,81.34,0.0,0
TimeSamplerHook/sample_only/0sub,81.0,0.0,0
TimeSamplerHook/sample_only/0sub,81.1,0.0,0
TimeSamplerHook/sample_only/0sub,81.29,0.0,0
TimeSamplerHook/sample_only/0sub,81.23,0.0,0
TimeSamplerHook/sample_only/0sub,82.04,0.0,0
