check_runners,total_workers,clcr_pods,sample_n,exec_p50_s,exec_p95_s,exec_max_s,runs_per_min_per_check,runs_per_min_total,orch_runner,orch_exec_ms
1,3,3,48,10.015,10.039,10.047,,11.90,lab-cluster-checks-runner-65ff57994f-j8s9c,1379
2,6,3,81,10.014,10.029,10.047,,24.06,lab-cluster-checks-runner-b95c7f74d-bw66j,249
