pipeline_id,job_id,job_name,stage,status,duration,queued_duration,started_at,finished_at,created_at,coverage,runner_id,web_url
90342189,1345271596,unit_tests_notify,source_test,failed,30.509353,0.121901,2026-01-13T04:33:30.488Z,2026-01-13T04:34:00.997Z,2026-01-13T04:33:30.041Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345271596
90342189,1345263850,notify_ebpf_complexity_changes,.post,skipped,,,,,2026-01-13T04:15:04.855Z,,,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263850
90342189,1345263849,send_pipeline_stats,.post,success,37.493962,0.346815,2026-01-13T05:56:04.447Z,2026-01-13T05:56:41.941Z,2026-01-13T04:15:04.846Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263849
90342189,1345263848,notify-on-tagged-success,.post,manual,,,,,2026-01-13T04:15:04.838Z,,,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263848
90342189,1345263847,new-e2e-cleanup-on-failure,.post,success,122.66874,0.411838,2026-01-13T05:56:04.249Z,2026-01-13T05:58:06.918Z,2026-01-13T04:15:04.828Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263847
90342189,1345263846,do-not-merge,check_merge,success,21.389181,0.2007,2026-01-13T04:15:54.729Z,2026-01-13T04:16:16.118Z,2026-01-13T04:15:04.814Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263846
90342189,1345263845,dynamic_test-evaluate-e2e,dynamic_test,success,184.193537,0.470972,2026-01-13T05:52:59.510Z,2026-01-13T05:56:03.703Z,2026-01-13T04:15:04.801Z,,19815643.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263845
90342189,1345263844,oracle: [21.3.0-xe],functional_test,success,210.095214,0.514194,2026-01-13T04:18:05.393Z,2026-01-13T04:21:35.488Z,2026-01-13T04:15:04.788Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263844
90342189,1345263843,single-machine-performance-regression_detector-pr-comment,functional_test,success,149.184662,0.440924,2026-01-13T05:08:21.816Z,2026-01-13T05:10:51.000Z,2026-01-13T04:15:04.777Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263843
90342189,1345263842,single-machine-performance-metal-runners-regression_detector,functional_test,success,100.740987,0.300527,2026-01-13T04:41:05.990Z,2026-01-13T04:42:46.731Z,2026-01-13T04:15:04.765Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263842
90342189,1345263841,single-machine-performance-regression_detector,functional_test,success,1635.569343,0.141929,2026-01-13T04:41:05.568Z,2026-01-13T05:08:21.138Z,2026-01-13T04:15:04.753Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263841
90342189,1345263840,manual_gate_threshold_update,functional_test,manual,,,,,2026-01-13T04:15:04.742Z,,,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263840
90342189,1345263839,static_quality_gates,functional_test,success,684.778566,0.163727,2026-01-13T05:06:22.818Z,2026-01-13T05:17:47.597Z,2026-01-13T04:15:04.725Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263839
90342189,1345263838,new-e2e-agent-platform-install-script-macos-x64,e2e_install_packages,manual,,,,,2026-01-13T04:15:04.666Z,,,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263838
90342189,1345263837,new-e2e-windows-ddot-package-a7-x86_64,e2e_install_packages,success,1640.928185,0.084844,2026-01-13T05:08:04.647Z,2026-01-13T05:35:25.575Z,2026-01-13T04:15:04.650Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263837
90342189,1345263836,"new-e2e-windows-agent-a7-x86_64-fips: [--run ""TestAgentDoesNotInstallOverFIPSAgent$""]",e2e_install_packages,success,651.491743,0.13454,2026-01-13T05:09:34.844Z,2026-01-13T05:20:26.336Z,2026-01-13T04:15:04.636Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263836
90342189,1345263835,"new-e2e-windows-agent-a7-x86_64-fips: [--run ""TestFIPSAgentDoesNotInstallOverAgent$""]",e2e_install_packages,success,630.868633,0.127871,2026-01-13T05:09:34.738Z,2026-01-13T05:20:05.607Z,2026-01-13T04:15:04.621Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263835
90342189,1345263834,"new-e2e-windows-agent-a7-x86_64-fips: [--run ""TestFIPSAgentAltDir$""]",e2e_install_packages,success,660.861059,0.210245,2026-01-13T05:09:34.716Z,2026-01-13T05:20:35.578Z,2026-01-13T04:15:04.607Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263834
90342189,1345263833,"new-e2e-windows-agent-a7-x86_64-fips: [--run ""TestFIPSAgent$""]",e2e_install_packages,success,649.287481,0.204268,2026-01-13T05:09:34.469Z,2026-01-13T05:20:23.757Z,2026-01-13T04:15:04.593Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263833
90342189,1345263832,new-e2e-windows-agent-domain-tests-a7-x86_64,e2e_install_packages,success,1523.020991,0.079795,2026-01-13T05:08:04.548Z,2026-01-13T05:33:27.569Z,2026-01-13T04:15:04.580Z,,19811695.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/jobs/1345263832
