workload,case,baseline_image,comparison_image,replicates,total_samples,delta_mean_pct,ci_low_pct,ci_high_pct,confidence_pct,erratic,regression,improvement
standard,uds_dogstatsd_to_api_v3_endpoint_fixed_compact_batch,datadog/agent-dev:smp-dsd-columnar-v3-compact-consumers-baseline,datadog/agent-dev:smp-dsd-columnar-v3-compact-consumers-enabled,3,270,-0.02,-0.15,0.12,13.4,false,false,false
high_metrics_only,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only_compact_batch,datadog/agent-dev:smp-dsd-columnar-v3-compact-consumers-baseline,datadog/agent-dev:smp-dsd-columnar-v3-compact-consumers-enabled,3,270,-0.00,-0.04,0.03,13.2,false,false,false
