[1;34m[lab][0m observing orchestrator manifest rate; window=300s interval=30s
timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778902245,300,54,20,94,269,399,21,15.00,15.03,15.04,30,10.05,11.42,12.53
1778902275,300,54,20,94,267,393,20,15.00,15.03,15.04,30,10.05,12.15,13.14
1778902305,300,53,20,93,270,399,20,15.00,15.03,15.04,30,10.05,12.15,13.14
1778902335,300,54,20,95,265,385,20,15.00,15.00,15.03,30,10.05,12.89,13.55
1778902365,300,47,20,83,270,392,20,15.00,15.00,15.03,30,10.05,13.39,13.70
1778902395,300,45,20,80,200,318,20,15.00,15.00,15.03,29,10.05,13.65,15.17
1778902425,300,52,20,91,211,336,20,15.00,15.00,15.03,29,10.06,13.65,15.17
1778902455,300,54,21,92,202,324,20,15.00,15.00,15.03,29,10.06,13.65,15.17
1778902485,300,53,20,91,205,330,20,15.00,15.00,15.03,29,10.06,13.65,15.17
1778902515,300,54,21,92,170,288,20,15.00,15.00,15.00,29,10.06,13.65,15.17
1778902545,300,46,21,80,174,295,20,15.00,15.00,15.01,29,10.06,13.65,15.17
1778902575,300,45,20,79,176,301,20,15.00,15.00,15.01,29,10.05,13.65,15.17
1778902605,300,53,20,91,187,319,20,15.00,15.01,15.06,29,10.06,13.65,15.17
1778902635,300,52,20,90,158,276,20,15.00,15.01,15.06,30,10.05,13.15,15.17
1778902665,300,51,20,88,161,281,20,15.00,15.01,15.06,30,10.05,11.59,12.34
1778902695,300,52,20,90,152,264,20,15.00,15.01,15.06,31,10.05,11.81,12.34
1778902726,300,45,21,78,156,270,20,15.00,15.01,15.06,30,10.05,12.17,14.68
1778902756,300,41,20,74,152,264,20,15.00,15.01,15.06,29,10.05,11.89,14.68
1778902786,300,49,20,86,163,282,20,15.00,15.04,15.06,29,10.05,13.72,14.68
1778902816,300,48,21,84,149,260,20,15.00,15.04,15.06,29,10.08,14.66,14.68
1778902846,300,48,20,84,153,267,20,15.00,15.04,15.06,29,10.08,14.66,14.68
1778902876,300,48,20,84,148,259,20,15.00,15.04,15.06,29,10.83,14.66,14.68
1778902906,300,41,20,73,152,266,20,15.00,15.01,15.04,30,10.13,14.66,14.68
1778902936,300,41,20,73,149,260,20,15.00,15.01,15.04,30,10.13,14.66,14.68
1778902966,300,40,20,72,151,264,20,15.00,15.01,15.04,29,10.09,14.66,14.68
1778902996,300,49,21,85,147,257,20,15.00,15.03,15.04,29,10.09,14.58,14.67
1778903026,300,48,21,84,150,262,20,15.00,15.03,15.04,30,10.06,14.57,14.67
1778903056,300,50,21,86,146,254,20,15.00,15.03,15.04,31,10.06,14.43,14.67
1778903086,300,42,20,73,149,259,20,15.00,15.01,15.03,30,10.06,14.43,14.67
1778903116,300,44,21,76,147,254,20,15.00,15.01,15.03,31,10.05,14.24,14.43
1778903146,300,45,21,79,152,264,20,15.00,15.01,15.03,31,10.05,14.24,14.43
1778903176,300,52,20,88,147,253,20,15.00,15.03,15.05,30,10.06,14.40,14.43
1778903206,300,52,20,89,151,261,20,15.00,15.03,15.05,29,11.84,14.41,14.43
1778903236,300,52,20,89,148,255,20,15.00,15.03,15.05,28,11.87,14.43,14.43
1778903266,300,61,20,103,159,273,20,15.00,15.53,15.60,29,11.86,14.43,15.63
1778903296,300,53,20,91,155,268,20,15.00,15.59,15.60,30,11.82,14.43,15.63
1778903326,300,53,20,92,158,274,20,15.00,15.59,15.60,30,10.12,14.40,15.63
1778903357,300,53,20,92,147,256,20,15.00,15.59,15.60,31,10.08,14.39,15.63
1778903387,300,51,19,103,148,272,19,15.00,15.59,15.60,31,10.08,15.41,19.35
1778903417,300,59,19,102,153,265,19,15.00,17.69,29.52,30,10.12,15.43,19.35
1778903447,300,57,20,97,156,270,19,15.00,17.69,29.52,30,10.10,15.43,19.35
1778903477,300,52,20,89,154,263,19,15.00,17.69,29.52,32,10.04,15.38,19.35
1778903507,300,50,19,86,156,268,19,15.00,17.69,29.52,31,10.05,15.41,19.35
1778903537,300,49,20,86,144,250,19,15.00,17.69,29.52,32,10.04,15.06,19.35
1778903567,300,42,20,73,148,255,19,15.00,17.68,29.52,31,10.08,15.07,19.35
1778903597,300,50,20,85,154,263,19,15.00,17.65,29.52,30,10.15,15.08,19.35
1778903627,300,48,19,95,155,279,18,15.00,29.72,30.53,29,10.19,17.88,30.03
1778903657,300,58,19,95,162,273,18,15.00,29.72,30.53,28,10.15,18.04,30.03
1778903687,300,61,20,86,166,280,19,15.00,17.87,30.53,31,9.95,14.33,30.03
1778903717,300,52,20,86,157,267,19,15.00,17.87,30.53,30,10.05,14.40,30.03
1778903747,300,52,20,87,160,273,19,15.00,17.87,30.53,30,10.05,14.40,30.03
1778903777,300,52,20,87,158,267,19,15.00,17.87,30.53,29,10.05,13.48,30.03
1778903807,300,53,20,89,161,274,19,15.00,17.87,30.53,30,10.05,12.76,30.03
1778903837,300,62,20,100,165,277,19,15.00,17.87,30.53,29,10.05,11.38,30.03
1778903868,300,59,19,111,166,293,18,15.00,18.61,30.53,29,10.05,16.89,30.03
