BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=true-20  	    3396	    341113 ns/op	      1000 metrics	  435597 B/op	    4058 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=true-20  	    3144	    336548 ns/op	      1000 metrics	  435715 B/op	    4058 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=true-20  	    3391	    327204 ns/op	      1000 metrics	  437034 B/op	    4059 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=true-20  	    3259	    317966 ns/op	      1000 metrics	  437025 B/op	    4059 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=false-20 	    3542	    338649 ns/op	      1000 metrics	  435395 B/op	    4059 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=false-20 	    3471	    345926 ns/op	      1000 metrics	  436353 B/op	    4059 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=false-20 	    3590	    348179 ns/op	      1000 metrics	  437339 B/op	    4059 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=false-20 	    3471	    345926 ns/op	      1000 metrics	  436353 B/op	    4059 allocs/op
BenchmarkTimeSamplerFlushMetricTypes/distribution/useStore=false-20 	    3306	    340704 ns/op	      1000 metrics	  435908 B/op	    4059 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=true-20    	    6242	    192434 ns/op	      1000 samples-per-cycle	  130690 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=true-20    	    6212	    191451 ns/op	      1000 samples-per-cycle	  130688 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=true-20    	    5768	    188736 ns/op	      1000 samples-per-cycle	  130693 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=true-20    	    6194	    193050 ns/op	      1000 samples-per-cycle	  130695 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=true-20    	    6736	    191945 ns/op	      1000 samples-per-cycle	  130692 B/op	    1032 allocs/op
BenchmarkTimeSamplerSampleThenFlushCycle/1000-samples-per-flush/useStore=false-20   	    6140	    195870 ns/op	      1000 samples-per-cycle	  130760 B/op	    1032 allocs/op
