goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
                                                      │ /Users/ella.taira/Desktop/datadog-agent/regex_base_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_gpt_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_ministral_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/token_benchmark.txt │
                                                      │                              sec/op                              │                       sec/op                        vs base              │                          sec/op                           vs base              │               sec/op                 vs base                │
Processing_PrefilterHit_TokenMatch/SSN-16                                                                   1.014µ ± ∞ ¹                                         1.037µ ± ∞ ¹       ~ (p=0.952 n=5)                                               1.047µ ± ∞ ¹       ~ (p=0.286 n=5)                          2.444µ ± ∞ ¹  +141.03% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/Email-16                                                                 1.218µ ± ∞ ¹                                         1.190µ ± ∞ ¹  -2.30% (p=0.008 n=5)                                               1.187µ ± ∞ ¹       ~ (p=0.151 n=5)                          2.547µ ± ∞ ¹  +109.11% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/IPv4-16                                                                  1.045µ ± ∞ ¹                                         1.029µ ± ∞ ¹  -1.53% (p=0.008 n=5)                                               1.032µ ± ∞ ¹  -1.24% (p=0.008 n=5)                          2.409µ ± ∞ ¹  +130.53% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/CreditCard-16                                                            1.041µ ± ∞ ¹                                         1.031µ ± ∞ ¹  -0.96% (p=0.024 n=5)                                               1.023µ ± ∞ ¹       ~ (p=0.651 n=5)                          2.622µ ± ∞ ¹  +151.87% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/APIKey-16                                                                1.038µ ± ∞ ¹                                         1.023µ ± ∞ ¹  -1.45% (p=0.048 n=5)                                               1.041µ ± ∞ ¹       ~ (p=1.000 n=5)                          3.175µ ± ∞ ¹  +205.88% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/SSN-16                                                                    923.1n ± ∞ ¹                                         922.9n ± ∞ ¹       ~ (p=1.000 n=5)                                               927.1n ± ∞ ¹       ~ (p=0.151 n=5)                         1597.0n ± ∞ ¹   +73.00% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/Email-16                                                                  910.2n ± ∞ ¹                                         909.4n ± ∞ ¹       ~ (p=0.794 n=5)                                               926.9n ± ∞ ¹  +1.83% (p=0.008 n=5)                         1406.0n ± ∞ ¹   +54.47% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/IPv4-16                                                                   1.105µ ± ∞ ¹                                         1.090µ ± ∞ ¹       ~ (p=0.063 n=5)                                               1.136µ ± ∞ ¹       ~ (p=0.238 n=5)                          2.351µ ± ∞ ¹  +112.76% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/APIKey-16                                                                 587.6n ± ∞ ¹                                         585.6n ± ∞ ¹       ~ (p=0.841 n=5)                                               612.1n ± ∞ ¹       ~ (p=0.548 n=5)                         1194.0n ± ∞ ¹  +103.20% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog1-16                                                                      2.845µ ± ∞ ¹                                         2.855µ ± ∞ ¹       ~ (p=0.548 n=5)                                               2.878µ ± ∞ ¹       ~ (p=0.151 n=5)                          1.668µ ± ∞ ¹   -41.37% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog2-16                                                                      3.384µ ± ∞ ¹                                         3.368µ ± ∞ ¹       ~ (p=0.794 n=5)                                               3.374µ ± ∞ ¹       ~ (p=0.841 n=5)                          1.636µ ± ∞ ¹   -51.65% (p=0.008 n=5)
