goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
                                                      │ /Users/ella.taira/Desktop/datadog-agent/regex_base_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_gpt_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_ministral_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/token_benchmark.txt │
                                                      │                              sec/op                              │                       sec/op                        vs base              │                          sec/op                           vs base              │               sec/op                 vs base                │
Processing_PrefilterHit_TokenMatch/SSN-16                                                                   1.014µ ± ∞ ¹                                         1.037µ ± ∞ ¹       ~ (p=0.952 n=5)                                               1.047µ ± ∞ ¹       ~ (p=0.286 n=5)                          2.444µ ± ∞ ¹  +141.03% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog3-16                                                                      2.326µ ± ∞ ¹                                         2.280µ ± ∞ ¹  -1.98% (p=0.024 n=5)                                               2.278µ ± ∞ ¹  -2.06% (p=0.016 n=5)                          1.475µ ± ∞ ¹   -36.59% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog4-16                                                                      2.214µ ± ∞ ¹                                         2.226µ ± ∞ ¹       ~ (p=0.841 n=5)                                               2.235µ ± ∞ ¹       ~ (p=0.548 n=5)                          1.373µ ± ∞ ¹   -37.99% (p=0.008 n=5)
Processing_MultipleRules/SSN_Match-16                                                                       2.447µ ± ∞ ¹                                         2.416µ ± ∞ ¹       ~ (p=0.127 n=5)                                               2.440µ ± ∞ ¹       ~ (p=0.794 n=5)                          2.967µ ± ∞ ¹   +21.25% (p=0.008 n=5)
Processing_MultipleRules/Email_Match-16                                                                     2.430µ ± ∞ ¹                                         2.346µ ± ∞ ¹  -3.46% (p=0.008 n=5)                                               2.353µ ± ∞ ¹  -3.17% (p=0.008 n=5)                          3.085µ ± ∞ ¹   +26.95% (p=0.008 n=5)
Processing_MultipleRules/PrefilterMiss-16                                                                   2.971µ ± ∞ ¹                                         2.897µ ± ∞ ¹  -2.49% (p=0.008 n=5)                                               2.901µ ± ∞ ¹  -2.36% (p=0.008 n=5)                          1.798µ ± ∞ ¹   -39.48% (p=0.008 n=5)
Processing_MultipleRules/PrefilterHit_TokenMiss-16                                                          2.405µ ± ∞ ¹                                         2.398µ ± ∞ ¹       ~ (p=0.968 n=5)                                               2.408µ ± ∞ ¹       ~ (p=1.000 n=5)                          2.474µ ± ∞ ¹    +2.87% (p=0.032 n=5)
Processing_ExcludeRules/Healthcheck_Match-16                                                                692.3n ± ∞ ¹                                         691.4n ± ∞ ¹       ~ (p=0.968 n=5)                                               697.6n ± ∞ ¹       ~ (p=0.690 n=5)                         1194.0n ± ∞ ¹   +72.47% (p=0.008 n=5)
Processing_ExcludeRules/Iptables_Match-16                                                                   822.9n ± ∞ ¹                                         809.6n ± ∞ ¹  -1.62% (p=0.032 n=5)                                               812.5n ± ∞ ¹       ~ (p=0.056 n=5)                         1475.0n ± ∞ ¹   +79.24% (p=0.008 n=5)
Processing_ExcludeRules/NoMatch-16                                                                          577.4n ± ∞ ¹                                         580.4n ± ∞ ¹       ~ (p=0.548 n=5)                                               580.9n ± ∞ ¹       ~ (p=1.000 n=5)                         1784.0n ± ∞ ¹  +208.97% (p=0.008 n=5)
Processing_IncludeRules/Match-16                                                                            677.4n ± ∞ ¹                                         679.5n ± ∞ ¹       ~ (p=0.579 n=5)                                               672.9n ± ∞ ¹       ~ (p=0.222 n=5)                         1220.0n ± ∞ ¹   +80.10% (p=0.008 n=5)
Processing_IncludeRules/NoMatch-16                                                                          577.7n ± ∞ ¹                                         586.2n ± ∞ ¹       ~ (p=0.222 n=5)                                               579.9n ± ∞ ¹       ~ (p=0.548 n=5)                         1822.0n ± ∞ ¹  +215.39% (p=0.008 n=5)
Processing_LengthConstraints/IPv4_Match-16                                                                  1.067µ ± ∞ ¹                                         1.055µ ± ∞ ¹       ~ (p=0.206 n=5)                                               1.049µ ± ∞ ¹  -1.69% (p=0.008 n=5)                          3.060µ ± ∞ ¹  +186.79% (p=0.008 n=5)
Processing_LengthConstraints/Email_Match-16                                                                 1.250µ ± ∞ ¹                                         1.237µ ± ∞ ¹       ~ (p=0.548 n=5)                                               1.220µ ± ∞ ¹  -2.40% (p=0.008 n=5)                          3.256µ ± ∞ ¹  +160.48% (p=0.008 n=5)
Processing_LengthConstraints/APIKey_Match-16                                                                1.044µ ± ∞ ¹                                         1.051µ ± ∞ ¹       ~ (p=0.381 n=5)                                               1.052µ ± ∞ ¹       ~ (p=0.690 n=5)                          4.199µ ± ∞ ¹  +302.20% (p=0.008 n=5)
Processing_RealWorldRules/MaskAPIKeys_Match-16                                                              706.3n ± ∞ ¹                                         713.3n ± ∞ ¹       ~ (p=0.841 n=5)                                               693.9n ± ∞ ¹  -1.76% (p=0.040 n=5)                         2910.0n ± ∞ ¹  +312.01% (p=0.008 n=5)
Processing_RealWorldRules/MaskHostname_Match-16                                                             832.2n ± ∞ ¹                                         824.9n ± ∞ ¹       ~ (p=0.310 n=5)                                               828.3n ± ∞ ¹       ~ (p=0.548 n=5)                         2474.0n ± ∞ ¹  +197.28% (p=0.008 n=5)
Processing_RealWorldRules/ExcludeWarning_Match-16                                                           585.2n ± ∞ ¹                                         584.0n ± ∞ ¹       ~ (p=0.841 n=5)                                               578.7n ± ∞ ¹       ~ (p=0.151 n=5)                         1939.0n ± ∞ ¹  +231.34% (p=0.008 n=5)
Processing_RealWorldRules/K8sMLPing_Match-16                                                                705.7n ± ∞ ¹                                         704.4n ± ∞ ¹       ~ (p=0.421 n=5)                                               704.5n ± ∞ ¹       ~ (p=0.841 n=5)                         1469.0n ± ∞ ¹  +108.16% (p=0.008 n=5)
Processing_RealWorldRules/K8sMLPredict_Match-16                                                             720.4n ± ∞ ¹                                         721.2n ± ∞ ¹       ~ (p=0.421 n=5)                                               718.9n ± ∞ ¹       ~ (p=0.841 n=5)                         1589.0n ± ∞ ¹  +120.57% (p=0.008 n=5)
Processing_RealWorldRules/Rails20X_Match-16                                                                 843.7n ± ∞ ¹                                         835.7n ± ∞ ¹       ~ (p=0.151 n=5)                                               843.5n ± ∞ ¹       ~ (p=0.841 n=5)                         1502.0n ± ∞ ¹   +78.03% (p=0.008 n=5)
Processing_RealWorldRules/Rails201_Match-16                                                                 866.5n ± ∞ ¹                                         870.4n ± ∞ ¹       ~ (p=0.222 n=5)                                               866.1n ± ∞ ¹       ~ (p=1.000 n=5)                         1675.0n ± ∞ ¹   +93.31% (p=0.008 n=5)
Processing_RealWorldRules/IncludeSSHD_Match-16                                                              685.9n ± ∞ ¹                                         691.9n ± ∞ ¹       ~ (p=0.095 n=5)                                               685.0n ± ∞ ¹       ~ (p=0.690 n=5)                         1833.0n ± ∞ ¹  +167.24% (p=0.008 n=5)
Processing_RealWorldRules/IncludeSnoopy_Match-16                                                            694.9n ± ∞ ¹                                         699.8n ± ∞ ¹  +0.71% (p=0.040 n=5)                                               703.3n ± ∞ ¹       ~ (p=0.421 n=5)                         1913.0n ± ∞ ¹  +175.29% (p=0.008 n=5)
Processing_RealWorldRules/RealWorld_PrefilterMiss1-16                                                       597.4n ± ∞ ¹                                         593.3n ± ∞ ¹       ~ (p=0.222 n=5)                                               597.3n ± ∞ ¹       ~ (p=1.000 n=5)                         2013.0n ± ∞ ¹  +236.96% (p=0.008 n=5)
Processing_RealWorldRules/RealWorld_PrefilterMiss2-16                                                       673.3n ± ∞ ¹                                         673.3n ± ∞ ¹       ~ (p=0.889 n=5)                                               678.1n ± ∞ ¹       ~ (p=0.548 n=5)                         1802.0n ± ∞ ¹  +167.64% (p=0.008 n=5)
Processing_AllRealWorldRules/APIKey_Match-16                                                                760.7n ± ∞ ¹                                         763.1n ± ∞ ¹       ~ (p=0.421 n=5)                                               758.8n ± ∞ ¹       ~ (p=0.595 n=5)                         3295.0n ± ∞ ¹  +333.15% (p=0.008 n=5)
Processing_AllRealWorldRules/Hostname_Match-16                                                              883.9n ± ∞ ¹                                         884.1n ± ∞ ¹       ~ (p=0.841 n=5)                                               883.2n ± ∞ ¹       ~ (p=0.548 n=5)                         2758.0n ± ∞ ¹  +212.03% (p=0.008 n=5)
Processing_AllRealWorldRules/WarningRoot_Match-16                                                           682.7n ± ∞ ¹                                         688.6n ± ∞ ¹       ~ (p=0.151 n=5)                                               678.8n ± ∞ ¹       ~ (p=0.222 n=5)                         2152.0n ± ∞ ¹  +215.22% (p=0.008 n=5)
Processing_AllRealWorldRules/SSHD_Match-16                                                                  764.8n ± ∞ ¹                                         765.0n ± ∞ ¹       ~ (p=0.421 n=5)                                               763.2n ± ∞ ¹       ~ (p=1.000 n=5)                         1912.0n ± ∞ ¹  +150.00% (p=0.008 n=5)
Processing_AllRealWorldRules/K8sMLPing_Match-16                                                             586.5n ± ∞ ¹                                         587.3n ± ∞ ¹       ~ (p=1.000 n=5)                                               587.7n ± ∞ ¹       ~ (p=0.841 n=5)                         1476.0n ± ∞ ¹  +151.66% (p=0.008 n=5)
Processing_AllRealWorldRules/Rails20X_Match-16                                                              610.8n ± ∞ ¹                                         616.1n ± ∞ ¹       ~ (p=0.690 n=5)                                               604.8n ± ∞ ¹       ~ (p=0.310 n=5)                         1486.0n ± ∞ ¹  +143.29% (p=0.008 n=5)
Processing_AllRealWorldRules/PrefilterMiss-16                                                               701.8n ± ∞ ¹                                         696.1n ± ∞ ¹       ~ (p=0.103 n=5)                                               694.9n ± ∞ ¹       ~ (p=0.421 n=5)                         2048.0n ± ∞ ¹  +191.82% (p=0.008 n=5)
geomean                                                                                                     989.0n                                               985.7n        -0.33%                                                             987.3n        -0.17%                                        2.001µ        +102.36%
¹ need >= 6 samples for confidence interval at level 0.95

                                                      │ /Users/ella.taira/Desktop/datadog-agent/regex_base_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_gpt_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_ministral_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/token_benchmark.txt │
                                                      │                               B/op                               │                       B/op                        vs base                │                          B/op                           vs base                │                B/op                  vs base                │
Processing_PrefilterHit_TokenMatch/SSN-16                                                                  2.302Ki ± ∞ ¹                                      2.302Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              2.300Ki ± ∞ ¹       ~ (p=0.087 n=5)                           5.867Ki ± ∞ ¹  +154.90% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/Email-16                                                                2.269Ki ± ∞ ¹                                      2.270Ki ± ∞ ¹       ~ (p=0.563 n=5)                                              2.265Ki ± ∞ ¹       ~ (p=0.143 n=5)                           5.922Ki ± ∞ ¹  +161.04% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/IPv4-16                                                                 2.298Ki ± ∞ ¹                                      2.297Ki ± ∞ ¹       ~ (p=0.325 n=5)                                              2.296Ki ± ∞ ¹  -0.08% (p=0.008 n=5)                           5.852Ki ± ∞ ¹  +154.65% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/CreditCard-16                                                           2.265Ki ± ∞ ¹                                      2.265Ki ± ∞ ¹       ~ (p=0.960 n=5)                                              2.262Ki ± ∞ ¹       ~ (p=0.056 n=5)                           6.602Ki ± ∞ ¹  +191.50% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/APIKey-16                                                               2.321Ki ± ∞ ¹                                      2.323Ki ± ∞ ¹       ~ (p=0.437 n=5)                                              2.320Ki ± ∞ ¹       ~ (p=0.333 n=5)                           8.539Ki ± ∞ ¹  +267.86% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/SSN-16                                                                   1.945Ki ± ∞ ¹                                      1.945Ki ± ∞ ¹       ~ (p=0.429 n=5)                                              1.943Ki ± ∞ ¹       ~ (p=0.214 n=5)                           3.961Ki ± ∞ ¹  +103.61% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/Email-16                                                                 1.930Ki ± ∞ ¹                                      1.930Ki ± ∞ ¹       ~ (p=0.159 n=5)                                              1.929Ki ± ∞ ¹       ~ (p=0.119 n=5)                           3.422Ki ± ∞ ¹   +77.33% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/IPv4-16                                                                  2.248Ki ± ∞ ¹                                      2.249Ki ± ∞ ¹       ~ (p=0.484 n=5)                                              2.247Ki ± ∞ ¹       ~ (p=0.714 n=5)                           5.242Ki ± ∞ ¹  +133.19% (p=0.008 n=5)
Processing_PrefilterHit_TokenMiss/APIKey-16                                                                1.859Ki ± ∞ ¹                                      1.859Ki ± ∞ ¹       ~ (p=1.000 n=5) ²                                            1.859Ki ± ∞ ¹       ~ (p=1.000 n=5) ²                         2.773Ki ± ∞ ¹   +49.16% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog1-16                                                                     2.228Ki ± ∞ ¹                                      2.229Ki ± ∞ ¹       ~ (p=0.492 n=5)                                              2.228Ki ± ∞ ¹       ~ (p=0.984 n=5)                           3.680Ki ± ∞ ¹   +65.19% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog2-16                                                                     2.225Ki ± ∞ ¹                                      2.224Ki ± ∞ ¹       ~ (p=0.317 n=5)                                              2.221Ki ± ∞ ¹  -0.18% (p=0.040 n=5)                           3.820Ki ± ∞ ¹   +71.73% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog3-16                                                                     2.156Ki ± ∞ ¹                                      2.153Ki ± ∞ ¹       ~ (p=0.246 n=5)                                              2.152Ki ± ∞ ¹       ~ (p=0.159 n=5)                           3.266Ki ± ∞ ¹   +51.45% (p=0.008 n=5)
Processing_PrefilterMiss/NormalLog4-16                                                                     2.074Ki ± ∞ ¹                                      2.076Ki ± ∞ ¹       ~ (p=0.762 n=5)                                              2.076Ki ± ∞ ¹       ~ (p=1.000 n=5)                           2.922Ki ± ∞ ¹   +40.87% (p=0.008 n=5)
Processing_MultipleRules/SSN_Match-16                                                                      2.474Ki ± ∞ ¹                                      2.472Ki ± ∞ ¹       ~ (p=0.222 n=5)                                              2.472Ki ± ∞ ¹       ~ (p=0.087 n=5)                           5.867Ki ± ∞ ¹  +137.19% (p=0.008 n=5)
Processing_MultipleRules/Email_Match-16                                                                    2.451Ki ± ∞ ¹                                      2.450Ki ± ∞ ¹       ~ (p=0.881 n=5)                                              2.446Ki ± ∞ ¹  -0.20% (p=0.040 n=5)                           5.922Ki ± ∞ ¹  +141.59% (p=0.008 n=5)
Processing_MultipleRules/PrefilterMiss-16                                                                  2.229Ki ± ∞ ¹                                      2.229Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              2.226Ki ± ∞ ¹  -0.13% (p=0.040 n=5)                           3.680Ki ± ∞ ¹   +65.12% (p=0.008 n=5)
Processing_MultipleRules/PrefilterHit_TokenMiss-16                                                         2.073Ki ± ∞ ¹                                      2.074Ki ± ∞ ¹       ~ (p=0.770 n=5)                                              2.072Ki ± ∞ ¹       ~ (p=0.603 n=5)                           5.039Ki ± ∞ ¹  +143.05% (p=0.008 n=5)
Processing_ExcludeRules/Healthcheck_Match-16                                                               2.157Ki ± ∞ ¹                                      2.156Ki ± ∞ ¹       ~ (p=0.556 n=5)                                              2.156Ki ± ∞ ¹       ~ (p=0.183 n=5)                           2.742Ki ± ∞ ¹   +27.12% (p=0.008 n=5)
Processing_ExcludeRules/Iptables_Match-16                                                                  2.161Ki ± ∞ ¹                                      2.160Ki ± ∞ ¹       ~ (p=0.286 n=5)                                              2.159Ki ± ∞ ¹  -0.09% (p=0.024 n=5)                           3.297Ki ± ∞ ¹   +52.55% (p=0.008 n=5)
Processing_ExcludeRules/NoMatch-16                                                                         1.938Ki ± ∞ ¹                                      1.938Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              1.938Ki ± ∞ ¹       ~ (p=0.722 n=5)                           3.680Ki ± ∞ ¹   +89.82% (p=0.008 n=5)
Processing_IncludeRules/Match-16                                                                           2.142Ki ± ∞ ¹                                      2.142Ki ± ∞ ¹       ~ (p=0.762 n=5)                                              2.140Ki ± ∞ ¹       ~ (p=0.238 n=5)                           2.742Ki ± ∞ ¹   +28.04% (p=0.008 n=5)
Processing_IncludeRules/NoMatch-16                                                                         1.938Ki ± ∞ ¹                                      1.939Ki ± ∞ ¹       ~ (p=0.484 n=5)                                              1.937Ki ± ∞ ¹       ~ (p=0.127 n=5)                           3.680Ki ± ∞ ¹   +89.82% (p=0.008 n=5)
Processing_LengthConstraints/IPv4_Match-16                                                                 2.298Ki ± ∞ ¹                                      2.298Ki ± ∞ ¹       ~ (p=0.762 n=5)                                              2.298Ki ± ∞ ¹       ~ (p=0.992 n=5)                           5.852Ki ± ∞ ¹  +154.65% (p=0.008 n=5)
Processing_LengthConstraints/Email_Match-16                                                                2.270Ki ± ∞ ¹                                      2.271Ki ± ∞ ¹       ~ (p=0.706 n=5)                                              2.268Ki ± ∞ ¹       ~ (p=0.190 n=5)                           5.922Ki ± ∞ ¹  +160.93% (p=0.008 n=5)
Processing_LengthConstraints/APIKey_Match-16                                                               2.322Ki ± ∞ ¹                                      2.323Ki ± ∞ ¹       ~ (p=0.302 n=5)                                              2.323Ki ± ∞ ¹       ~ (p=0.571 n=5)                           8.539Ki ± ∞ ¹  +267.70% (p=0.008 n=5)
Processing_RealWorldRules/MaskAPIKeys_Match-16                                                             1.988Ki ± ∞ ¹                                      1.986Ki ± ∞ ¹       ~ (p=0.222 n=5)                                              1.985Ki ± ∞ ¹  -0.15% (p=0.008 n=5)                           5.922Ki ± ∞ ¹  +197.84% (p=0.008 n=5)
Processing_RealWorldRules/MaskHostname_Match-16                                                            2.251Ki ± ∞ ¹                                      2.251Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              2.250Ki ± ∞ ¹       ~ (p=0.405 n=5)                           4.609Ki ± ∞ ¹  +104.77% (p=0.008 n=5)
Processing_RealWorldRules/ExcludeWarning_Match-16                                                          1.938Ki ± ∞ ¹                                      1.938Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              1.938Ki ± ∞ ¹  -0.05% (p=0.008 n=5)                           3.914Ki ± ∞ ¹  +101.91% (p=0.008 n=5)
Processing_RealWorldRules/K8sMLPing_Match-16                                                               2.165Ki ± ∞ ¹                                      2.165Ki ± ∞ ¹       ~ (p=0.794 n=5)                                              2.164Ki ± ∞ ¹       ~ (p=0.397 n=5)                           2.961Ki ± ∞ ¹   +36.76% (p=0.008 n=5)
Processing_RealWorldRules/K8sMLPredict_Match-16                                                            2.164Ki ± ∞ ¹                                      2.164Ki ± ∞ ¹       ~ (p=0.913 n=5)                                              2.163Ki ± ∞ ¹       ~ (p=0.079 n=5)                           3.078Ki ± ∞ ¹   +42.24% (p=0.008 n=5)
Processing_RealWorldRules/Rails20X_Match-16                                                                2.136Ki ± ∞ ¹                                      2.134Ki ± ∞ ¹       ~ (p=0.206 n=5)                                              2.135Ki ± ∞ ¹       ~ (p=0.079 n=5)                           2.938Ki ± ∞ ¹   +37.54% (p=0.008 n=5)
Processing_RealWorldRules/Rails201_Match-16                                                                2.141Ki ± ∞ ¹                                      2.140Ki ± ∞ ¹       ~ (p=0.810 n=5)                                              2.141Ki ± ∞ ¹       ~ (p=0.397 n=5)                           3.148Ki ± ∞ ¹   +47.08% (p=0.008 n=5)
Processing_RealWorldRules/IncludeSSHD_Match-16                                                             2.165Ki ± ∞ ¹                                      2.164Ki ± ∞ ¹       ~ (p=0.190 n=5)                                              2.166Ki ± ∞ ¹       ~ (p=1.000 n=5)                           3.516Ki ± ∞ ¹   +62.38% (p=0.008 n=5)
Processing_RealWorldRules/IncludeSnoopy_Match-16                                                           2.164Ki ± ∞ ¹                                      2.165Ki ± ∞ ¹       ~ (p=0.476 n=5)                                              2.164Ki ± ∞ ¹       ~ (p=0.397 n=5)                           3.531Ki ± ∞ ¹   +63.18% (p=0.008 n=5)
Processing_RealWorldRules/RealWorld_PrefilterMiss1-16                                                      1.875Ki ± ∞ ¹                                      1.875Ki ± ∞ ¹       ~ (p=1.000 n=5) ²                                            1.875Ki ± ∞ ¹       ~ (p=1.000 n=5) ²                         3.648Ki ± ∞ ¹   +94.58% (p=0.008 n=5)
Processing_RealWorldRules/RealWorld_PrefilterMiss2-16                                                      1.918Ki ± ∞ ¹                                      1.919Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              1.918Ki ± ∞ ¹       ~ (p=0.397 n=5)                           3.273Ki ± ∞ ¹   +70.67% (p=0.008 n=5)
Processing_AllRealWorldRules/APIKey_Match-16                                                               1.987Ki ± ∞ ¹                                      1.986Ki ± ∞ ¹       ~ (p=0.444 n=5)                                              1.985Ki ± ∞ ¹  -0.10% (p=0.048 n=5)                           5.922Ki ± ∞ ¹  +197.99% (p=0.008 n=5)
Processing_AllRealWorldRules/Hostname_Match-16                                                             2.252Ki ± ∞ ¹                                      2.251Ki ± ∞ ¹       ~ (p=0.484 n=5)                                              2.249Ki ± ∞ ¹       ~ (p=0.087 n=5)                           4.609Ki ± ∞ ¹  +104.68% (p=0.008 n=5)
Processing_AllRealWorldRules/WarningRoot_Match-16                                                          1.936Ki ± ∞ ¹                                      1.937Ki ± ∞ ¹       ~ (p=0.921 n=5)                                              1.935Ki ± ∞ ¹       ~ (p=0.175 n=5)                           3.914Ki ± ∞ ¹  +102.22% (p=0.008 n=5)
Processing_AllRealWorldRules/SSHD_Match-16                                                                 2.167Ki ± ∞ ¹                                      2.166Ki ± ∞ ¹       ~ (p=0.333 n=5)                                              2.165Ki ± ∞ ¹  -0.09% (p=0.008 n=5)                           3.516Ki ± ∞ ¹   +62.24% (p=0.008 n=5)
Processing_AllRealWorldRules/K8sMLPing_Match-16                                                            1.906Ki ± ∞ ¹                                      1.906Ki ± ∞ ¹       ~ (p=1.000 n=5)                                              1.906Ki ± ∞ ¹       ~ (p=0.722 n=5)                           2.711Ki ± ∞ ¹   +42.21% (p=0.008 n=5)
Processing_AllRealWorldRules/Rails20X_Match-16                                                             1.898Ki ± ∞ ¹                                      1.896Ki ± ∞ ¹       ~ (p=0.087 n=5)                                              1.896Ki ± ∞ ¹  -0.10% (p=0.024 n=5)                           2.703Ki ± ∞ ¹   +42.39% (p=0.008 n=5)
Processing_AllRealWorldRules/PrefilterMiss-16                                                              1.938Ki ± ∞ ¹                                      1.937Ki ± ∞ ¹       ~ (p=0.238 n=5)                                              1.937Ki ± ∞ ¹       ~ (p=0.238 n=5)                           3.648Ki ± ∞ ¹   +88.31% (p=0.008 n=5)
geomean                                                                                                    2.123Ki                                            2.123Ki        -0.01%                                                            2.122Ki        -0.06%                                         4.114Ki         +93.78%
¹ need >= 6 samples for confidence interval at level 0.95
² all samples are equal

                                                      │ /Users/ella.taira/Desktop/datadog-agent/regex_base_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_gpt_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/regex_ministral_optimize_benchmark.txt │ /Users/ella.taira/Desktop/datadog-agent/token_benchmark.txt │
                                                      │                            allocs/op                             │                    allocs/op                      vs base                │                       allocs/op                         vs base                │              allocs/op               vs base                │
Processing_PrefilterHit_TokenMatch/SSN-16                                                                    28.00 ± ∞ ¹                                        28.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                                              28.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                           61.00 ± ∞ ¹  +117.86% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/Email-16                                                                  28.00 ± ∞ ¹                                        28.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                                              28.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                           64.00 ± ∞ ¹  +128.57% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/IPv4-16                                                                   28.00 ± ∞ ¹                                        28.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                                              28.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                           58.00 ± ∞ ¹  +107.14% (p=0.008 n=5)
Processing_PrefilterHit_TokenMatch/CreditCard-16                                                             27.00 ± ∞ ¹                                        27.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                                              27.00 ± ∞ ¹       ~ (p=1.000 n=5) ²                           61.00 ± ∞ ¹  +125.93% (p=0.008 n=5)
