Component,Origin,License
core,"github.com/containerd/containerd/api/services/diff/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/events/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/images/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/introspection/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/leases/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/namespaces/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/snapshots/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/tasks/v1",Apache-2.0
core,"github.com/containerd/containerd/api/services/version/v1",Apache-2.0
core,"github.com/containerd/containerd/api/types",Apache-2.0
core,"github.com/containerd/containerd/api/types/task",Apache-2.0
core,"github.com/containerd/containerd/archive",Apache-2.0
core,"github.com/containerd/containerd/archive/compression",Apache-2.0
core,"github.com/containerd/containerd/cio",Apache-2.0
core,"github.com/containerd/containerd/containers",Apache-2.0
core,"github.com/containerd/containerd/content",Apache-2.0
core,"github.com/containerd/containerd/content/proxy",Apache-2.0
core,"github.com/containerd/containerd/defaults",Apache-2.0
core,"github.com/containerd/containerd/diff",Apache-2.0
core,"github.com/containerd/containerd/errdefs",Apache-2.0
core,"github.com/containerd/containerd/events",Apache-2.0
core,"github.com/containerd/containerd/events/exchange",Apache-2.0
core,"github.com/containerd/containerd/filters",Apache-2.0
core,"github.com/containerd/containerd/identifiers",Apache-2.0
core,"github.com/containerd/containerd/images",Apache-2.0
core,"github.com/containerd/containerd/images/archive",Apache-2.0
core,"github.com/containerd/containerd/leases",Apache-2.0
core,"github.com/containerd/containerd/leases/proxy",Apache-2.0
core,"github.com/containerd/containerd/log",Apache-2.0
core,"github.com/containerd/containerd/mount",Apache-2.0
core,"github.com/containerd/containerd/namespaces",Apache-2.0
core,"github.com/containerd/containerd/oci",Apache-2.0
core,"github.com/containerd/containerd/pkg/dialer",Apache-2.0
core,"github.com/containerd/containerd/platforms",Apache-2.0
core,"github.com/containerd/containerd/plugin",Apache-2.0
core,"github.com/containerd/containerd/reference",Apache-2.0
core,"github.com/containerd/containerd/remotes",Apache-2.0
core,"github.com/containerd/containerd/remotes/docker",Apache-2.0
core,"github.com/containerd/containerd/remotes/docker/schema1",Apache-2.0
