goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkProcessing_PrefilterHit_TokenMatch/APIKey-16      	  370630	      3175 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMatch/APIKey-16      	  373389	      3163 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMatch/APIKey-16      	  380745	      3152 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMatch/APIKey-16      	  370190	      3250 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMatch/APIKey-16      	  375280	      3196 ns/op	    8744 B/op	      58 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/SSN-16          	  775296	      1558 ns/op	    4056 B/op	      42 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/SSN-16          	  770172	      1620 ns/op	    4056 B/op	      42 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/SSN-16          	  742701	      1594 ns/op	    4056 B/op	      42 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/SSN-16          	  737887	      1597 ns/op	    4056 B/op	      42 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/SSN-16          	  727454	      1616 ns/op	    4056 B/op	      42 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/Email-16        	  824910	      1403 ns/op	    3504 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/Email-16        	  832376	      1403 ns/op	    3504 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/Email-16        	  880214	      1406 ns/op	    3504 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/Email-16        	  835249	      1424 ns/op	    3504 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/Email-16        	  828016	      1530 ns/op	    3504 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/IPv4-16         	  506594	      2327 ns/op	    5368 B/op	      46 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/IPv4-16         	  499428	      2351 ns/op	    5368 B/op	      46 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/IPv4-16         	  510630	      2346 ns/op	    5368 B/op	      46 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/IPv4-16         	  492024	      2356 ns/op	    5368 B/op	      46 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/IPv4-16         	  506311	      2393 ns/op	    5368 B/op	      46 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/APIKey-16       	 1000000	      1188 ns/op	    2840 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/APIKey-16       	 1000000	      1188 ns/op	    2840 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/APIKey-16       	 1000000	      1218 ns/op	    2840 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/APIKey-16       	  976575	      1194 ns/op	    2840 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterHit_TokenMiss/APIKey-16       	  955350	      1216 ns/op	    2840 B/op	      38 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog1-16            	  718009	      1668 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog1-16            	  748590	      1651 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog1-16            	  735244	      1666 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog1-16            	  686368	      1713 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog1-16            	  677497	      1708 ns/op	    3768 B/op	      41 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog2-16            	  696130	      1636 ns/op	    3912 B/op	      33 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog2-16            	  721321	      1625 ns/op	    3912 B/op	      33 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog2-16            	  735739	      1604 ns/op	    3912 B/op	      33 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog2-16            	  735212	      1636 ns/op	    3912 B/op	      33 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog2-16            	  713336	      1646 ns/op	    3912 B/op	      33 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog3-16            	  855861	      1457 ns/op	    3344 B/op	      31 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog3-16            	  823045	      1484 ns/op	    3344 B/op	      31 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog3-16            	  805382	      1472 ns/op	    3344 B/op	      31 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog3-16            	  865456	      1475 ns/op	    3344 B/op	      31 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog3-16            	  792363	      1503 ns/op	    3344 B/op	      31 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog4-16            	  800270	      1400 ns/op	    2992 B/op	      34 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog4-16            	  879426	      1367 ns/op	    2992 B/op	      34 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog4-16            	  818430	      1379 ns/op	    2992 B/op	      34 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog4-16            	  882424	      1373 ns/op	    2992 B/op	      34 allocs/op
BenchmarkProcessing_PrefilterMiss/NormalLog4-16            	  886390	      1373 ns/op	    2992 B/op	      34 allocs/op
BenchmarkProcessing_MultipleRules/SSN_Match-16             	  400982	      2985 ns/op	    6008 B/op	      61 allocs/op
BenchmarkProcessing_MultipleRules/SSN_Match-16             	  410170	      2943 ns/op	    6008 B/op	      61 allocs/op
BenchmarkProcessing_MultipleRules/SSN_Match-16             	  399466	      2968 ns/op	    6008 B/op	      61 allocs/op
BenchmarkProcessing_MultipleRules/SSN_Match-16             	  407265	      2967 ns/op	    6008 B/op	      61 allocs/op
BenchmarkProcessing_MultipleRules/SSN_Match-16             	  424093	      2964 ns/op	    6008 B/op	      61 allocs/op
BenchmarkProcessing_MultipleRules/Email_Match-16           	  385454	      3101 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_MultipleRules/Email_Match-16           	  396868	      3127 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_MultipleRules/Email_Match-16           	  396609	      3034 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_MultipleRules/Email_Match-16           	  405753	      3085 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_MultipleRules/Email_Match-16           	  389599	      3045 ns/op	    6064 B/op	      64 allocs/op
BenchmarkProcessing_MultipleRules/PrefilterMiss-16         	  647490	      1783 ns/op	    3768 B/op	      41 allocs/op
