"Component","Origin","License","Copyright"
"flatcc","https://github.com/dvidelabs/flatcc","['Apache-2.0']","Copyright (c) 2016 Mikkel F. Jørgensen, dvide.com"
"flatbuffers","https://github.com/google/flatbuffers","['Apache-2.0']","Copyright 2014 Google Inc. All rights reserved."
"utest","https://github.com/sheredom/utest.h","['Unlicense']","['Neil Henning']"
"ilammy/msvc-dev-cmd","https://github.com/ilammy/msvc-dev-cmd","['MIT']","Copyright 2019 ilammy"
"urfave/cli","https://github.com/urfave/cli","['MIT']","Copyright (c) 2023 urfave/cli maintainers"

